Date,Issuer,Symbol,Lead/Joint-Lead  Managers,Offer Price,Opening Price,1st Day Close,1st Day % Px Chng ,$ Change Opening,$ Change Close,Star Ratings,Performed
2009/11/5 0:00,Ancestry.com ,ACOM,Morgan Stanly/BofA Merrill Lynch,13.5,16.1,14.2,0.051851852,2.6,0.7,2,
2009/11/6 0:00,Duyuan Printing  ,DYP,Piper Jaffray/Roth Capital Partners ,8.5,8.5,7.77,-0.085882353,0,-0.73,1,
2009/11/6 0:00,STR Holdings ,STRI,Credit Suisse/Goldman Sachs,10,10,13.1,0.31,0,3.1,1,
2009/11/13 0:00,Dollar General ,DG,Citi/Goldman Sachs/KKR/BofA Merrill Lynch/J.P. Morgan,21,22,22.73,0.082380952,1,1.73,3,
2009/11/13 0:00,rue21,rue,BofA Merrill Lynch/Goldman Sachs/J.P. Morgan,19,23,24.3,0.278947368,4,5.3,3,
2009/11/18 0:00,Fortinet ,FTNT,Morgan Stanley/J.P. Morgan/Deutsche Bank,12.5,17,16.62,0.3296,4.5,4.12,3,
2009/11/20 0:00,Archipelago Learning ,ARCL,BofA Merrill Lynch/Wm Blair,16.5,19,18.77,0.137575758,2.5,2.27,1,Missed
2009/11/20 0:00,Cloud Peak Energy ,CLD,Credit Suisse/Morgan Stanley/RBC Capital Markets,15,14.5,14.84,-0.010666667,-0.5,-0.16,1,
2009/11/20 0:00,Global Defense Technology & Systems ,GTEC,Cowen,13,13.05,13.08,0.006153846,0.05,0.08,1,
2009/11/20 0:00,7 Days Group Holdings ,SVN,J.P.  Morgan/Citi,11,12.17,12.5,0.136363636,1.17,1.5,2,
2009/11/27 0:00,GSME Acquisiton Partners ,GSMEF,Cohen ,10,10,10,0,0,0,1,
2009/12/9 0:00,Pebblebrook Hotel Trust ,PEB,BofA Merrill Lynch/Raymond James/Wells Fargo,20,20,20.45,0.0225,0,0.45,1,
2009/12/10 0:00,China Nuokang Bio-Phrmaceutical ,NKBP,Jefferirs,9,8,8.67,-0.036666667,-1,-0.33,1,
2009/12/11 0:00,Concord Medical Services Holdings ,CCM,Morgan Stanley/JPMorgan/CICC,11,10,9.5,-0.136363636,-1,-1.5,3,Missed
2009/12/11 0:00,KAR Holdings ,KAR,Goldman Sachs/ Credit Suisse/ BofA Merrill Lynch/ J.P. Morgan,12,11,12.03,0.0025,-1,0.03,1,
2009/12/16 0:00,Cobalt International Energy ,CIE,Credit Suisse/Goldman Sachs/J.P. Morgan,13.5,13.25,13.5,0,-0.25,0,1,
2009/12/16 0:00,Team Health Holdings ,TMH,"BofA Merrill Lynch/ Goldman, Sachs/ Barclays Capital/ Citi",12,12,12.81,0.0675,0,0.81,1,
2009/12/17 0:00,Kraton Performance Polymers ,KRA,Credit Suisse,13.5,13.5,13.51,0.000740741,0,0.01,1,
2008/1/14 0:00,Polaris Acquisition,TKP-U,Lazard Capital Markets/Ladenburg Thalmann,10,10,10,0,0,0,1,
2008/1/16 0:00,Asia Special Situation Acquisition,CIO-U,Maxin Group,10,10,10,0,0,0,1,
2008/1/17 0:00,Williams Pipeline Partners L.P.,WMZ,Lehman Brothers/Citi/Merrill Lynch,20,20.5,20,0,0.5,0,2,
2008/1/17 0:00,Sapphire Industrials ,FYR-U,Citi,10,10,9.98,-0.002,0,-0.02,1,
2008/1/17 0:00,Sports Properties Acquisition,HMR-U,Banc of America,10,10,10,0,0,0,1,
2008/1/23 0:00,Trian Acquisition I ,TUX-U,Deutsche Bank/Merrill Lynch,10,10,10.04,0.004,0,0.04,1,
2008/1/24 0:00,RiskMetrics Group ,RMG,Credit Suisse/Goldman Sachs/Banc of America,17.5,21,23.75,0.357142857,3.5,6.25,3,
2008/1/24 0:00,IPC The Hospitalist Company ,IPCM,Credit Suisse/Jefferies,16,20.15,20.48,0.28,4.15,4.48,2,
2008/1/25 0:00,Atlas AcquisitionHoldings ,AXG-U,Lazard Capital Markets/Morgan Stanley,10,10,9.95,-0.005,0,-0.05,1,
